true,misspells
omeprazole,omaprazole omeprezole omeprizole omeperzole omperazole omeprazole omeprozole omeprasole omiprazole omeprazol
paroxetine,paroxotine paroextine paroxitine paroxatine
klonopin,klonopim klonopin klonipin klonepin kolnopin clonopin klomopin klonapins klonoin klopopin klonodine klonopan klonopon klonapin klonopn klanopin klenopin clonopine klonopins klonopen klonipine klolopin klonopine klonipins klononpin
diazepam,diazepam diazepan diazepams oxazepam diazipam diazapam
fluoxetine,fluoextine fluoxentine fluoxitine fluoxetine fluxoetine flouxetine fluoxotine fluoxatine duloxetine
clonazepam,klonazepam clonazpam clonazapam clonazapan clonazepam clonazipam clonazepan klonazapam clonezepam clonanzepam clonozepam clonazepham clonazepem clonazopam clorazepam clanazepam clonazipan
zyprexa,zyprea xyprexa xeprexa zyprexia zyprex zypreza zyprexea zyorexa zeprexa zyprxa zyprexa
amoxicillin,amoxicillan amoxicilin amoxicillian amoxocillin amoxicillin amoxcillin amoxacillin amoxicllin amoxicillion amoxycillin amoxcillian
xanax,xananx zanax xanax xanas xanaax xanaxs xanac xanaz
tramadol,tramadal tramado tramedol tramadol tramidol tramadoll tramodol tremadol tramamdol
oxycontin,oxicontin oxycotins oxycontins oxycottin oxycontin oxycotine oxycintin oxycotin oxycontine
quetiapine,quatiapine quietapine quetiapin quitiapine
seroquel,seruquel seraquel seroqule seriquel seroquill seroqel seroquil seroquell seroqeul seroqul seroque seroqual seroquel seroguel seroquels seroquelxr serequel
oxycodone,oxycodine oxicodone oxycoton ocycodone oxycodones oxycodin oxycodons oxycodone oxycodne oxycondone oxycoden oxycodon oxyxodone oxycodene
ibuprofen,ibufrofen ibuprofine ibeprofin ibuporfen iubprofin ibeprofen ibrupofen ibuprofun iboprofen ibuprofrin ibuprofin ibuprofren ibuprofen ibuprofens ibuprofins ibuprohen ibupropen
venlafaxine,venlafaxin venlafaxine venlaflaxine venlafexine venaflaxine
adderall,inderall addarall adderalls adderrall adderall adderral adderalxr adderalll adderoll adderal adderallxr
metformin,metforman metfromin metform metformen metforim metforin metfornin medformin metfomin metformine metforming metfirmin metofrmin metformin
penicillin,penicillium penicillian penicillin penecillin penicillan penicilin penicillen ampicillin penicillins penacillin
trazodone,trazidone trozodone trazdone traxodone trazadone trazadones trazodon trazodone trazedone trazondone trazadon
